full_filename,short_filename
03_20170831_172601_100d_7ig4.tif,7ig4.tif
03_20170831_172601_100d_fjhm.tif,fjhm.tif
03_20170831_172601_100d_fjw1.tif,fjw1.tif
03_20170831_172601_100d_gbqn.tif,gbqn.tif
03_20170831_172601_100d_mwcl.tif,mwcl.tif
03_20170831_172601_100d_qgwz.tif,qgwz.tif
03_20170831_172601_100d_titm.tif,titm.tif
03_20170831_172602_100d_che8.tif,che8.tif
03_20170831_172602_100d_csfa.tif,csfa.tif
03_20170831_172602_100d_ll8w.tif,ll8w.tif
03_20170831_172604_100d_6iup.tif,6iup.tif
03_20170831_172605_100d_bfnn.tif,bfnn.tif
03_20170831_172605_100d_czym.tif,czym.tif
03_20170831_172605_100d_k4yi.tif,k4yi.tif
03_20170831_172606_100d_8ksw.tif,8ksw.tif
03_20170831_172606_100d_mns5.tif,mns5.tif
03_20170831_172607_100d_lkku.tif,lkku.tif
03_20170831_172607_100d_me9z.tif,me9z.tif
03_20170831_172611_100d_i7jy.tif,i7jy.tif
03_20170831_172612_100d_m309.tif,m309.tif
03_20170831_172612_100d_mhby.tif,mhby.tif
03_20170831_172612_100d_pq3w.tif,pq3w.tif
03_20170831_172612_100d_z7nt.tif,z7nt.tif
03_20170831_172615_100d_71la.tif,71la.tif
03_20170831_172615_100d_7hhv.tif,7hhv.tif
08_20200829_073334_69_05YA.tif,05YA.tif
08_20200829_073334_69_1KNW.tif,1KNW.tif
08_20200829_073334_69_28NP.tif,28NP.tif
08_20200829_073334_69_5HX0.tif,5HX0.tif
08_20200829_073334_69_90XX.tif,90XX.tif
08_20200829_073334_69_GX8N.tif,GX8N.tif
08_20200829_073334_69_L895.tif,L895.tif
08_20200829_073334_69_P6SA.tif,P6SA.tif
08_20200829_073334_69_PA7Z.tif,PA7Z.tif
08_20200829_073334_69_ZM6O.tif,ZM6O.tif
08_20200829_073337_04_17Y7.tif,17Y7.tif
08_20200829_073337_04_27SR.tif,27SR.tif
08_20200829_073337_04_3AOH.tif,3AOH.tif
08_20200829_073337_04_3FV2.tif,3FV2.tif
08_20200829_073337_04_7Y1R.tif,7Y1R.tif
08_20200829_073337_04_9B49.tif,9B49.tif
08_20200829_073337_04_9ZL6.tif,9ZL6.tif
08_20200829_073337_04_DUR9.tif,DUR9.tif
08_20200829_073337_04_DWML.tif,DWML.tif
08_20200829_073337_04_EOSD.tif,EOSD.tif
08_20200829_073337_04_FE2K.tif,FE2K.tif
08_20200829_073337_04_KTIB.tif,KTIB.tif
08_20200829_073337_04_UAZ2.tif,UAZ2.tif
08_20200829_073337_04_WZJR.tif,WZJR.tif
07_20210323_233158_1040_2p5c.tif,2p5c.tif
07_20210323_233158_1040_37w8.tif,37w8.tif
07_20210323_233158_1040_5saj.tif,5saj.tif
07_20210323_233158_1040_6qi9.tif,6qi9.tif
07_20210323_233158_1040_6vr7.tif,6vr7.tif
07_20210323_233158_1040_cvdj.tif,cvdj.tif
07_20210323_233158_1040_d3cq.tif,d3cq.tif
07_20210323_233158_1040_jney.tif,jney.tif
07_20210323_233158_1040_mykf.tif,mykf.tif
07_20210323_233159_1040_8zyj.tif,8zyj.tif
07_20210323_233159_1040_ahog.tif,ahog.tif
07_20210323_233159_1040_c55r.tif,c55r.tif
07_20210323_233159_1040_egh9.tif,egh9.tif
07_20210323_233159_1040_lipf.tif,lipf.tif
07_20210323_233159_1040_qhl0.tif,qhl0.tif
07_20210323_233159_1040_r998.tif,r998.tif
07_20210323_233159_1040_vfig.tif,vfig.tif
07_20210323_233159_1040_zkjs.tif,zkjs.tif
07_20210323_233200_1040_289z.tif,289z.tif
07_20210323_233200_1040_50t5.tif,50t5.tif
07_20210323_233200_1040_axp2.tif,axp2.tif
07_20210323_233200_1040_d84g.tif,d84g.tif
07_20210323_233200_1040_diyq.tif,diyq.tif
07_20210323_233200_1040_gdiy.tif,gdiy.tif
07_20210323_233200_1040_jaen.tif,jaen.tif
07_20210323_233200_1040_mu1s.tif,mu1s.tif
07_20210323_233200_1040_nhps.tif,nhps.tif
07_20210323_233200_1040_ph7g.tif,ph7g.tif
07_20210323_233201_1040_6eqx.tif,6eqx.tif
07_20210323_233201_1040_ckwo.tif,ckwo.tif
07_20210323_233201_1040_d6v0.tif,d6v0.tif
07_20210323_233201_1040_dnh0.tif,dnh0.tif
07_20210323_233201_1040_gbbr.tif,gbbr.tif
07_20210323_233201_1040_ggaw.tif,ggaw.tif
07_20210323_233201_1040_iiim.tif,iiim.tif
07_20210323_233201_1040_n8u0.tif,n8u0.tif
07_20210323_233201_1040_r6u0.tif,r6u0.tif
07_20210323_233201_1040_wlvy.tif,wlvy.tif
05_20190318_164618_100e_45gc.tif,45gc.tif
05_20190318_164618_100e_6hpf.tif,6hpf.tif
05_20190318_164618_100e_6wtg.tif,6wtg.tif
05_20190318_164618_100e_drob.tif,drob.tif
